FoodNumber,FoodName,CO2e,CO2eRef
1,"ARROWROOT POWDER",  320,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
2,"PEARL BARLEY WHITE DRIED",  320,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
3,"BARLEY PEARL WHITE BOILED IN WATER",  320,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
4,"BARLEY WHOLE GRAIN DRIED",  293,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
5,"BARLEY WHOLEGRAIN BOILED IN WATER",  293,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
6,"WHEATGERM",  320,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
7,"BRAN WHEAT",  320,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
8,"CORNFLOUR",  320,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
9,"CORNMEAL SIFTED DRY",  320,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
10,"CORN MEAL UNSIFTED DRIED",  320,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
11,"CUSTARD POWDER",  320,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
12,"FLOUR BROWN (85%)",  320,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
13,"FLOUR CHAPATI BROWN",  320,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
14,"FLOUR CHAPATI WHITE",  320,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
15,"FLOUR WHITE HOUSEHOLD PLAIN",  320,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
16,"FLOUR WHITE SELF RAISING",  320,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
17,"FLOUR RICE",  467,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
18,"RYE FLOUR (100%)",  320,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
19,"SOYA FLOUR",  300,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
21,"FLOUR WHITE BREADMAKING",  320,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
22,"FLOUR WHOLEMEAL (100%)",  293,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
23,"OATMEAL RAW",  259,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
24,"OATS, ROLLED, PLAIN, DRY WEIGHT, NOT QUAKER, READY BREK/ INSTANT OATS",  259,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
25,"PASTA, CANELLONI, DRIED",  320,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
26,"PASTA LASAGNA DRIED",  267,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
27,"PASTA MACARONI BOILED",  320,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
28,"PASTA MACARONI, RAW",  320,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
29,"PASTA NOODLES DRIED",  320,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
30,"PASTA NOODLES BOILED",  320,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
31,"PASTA NOODLES EGG DRIED",  320,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
32,"PASTA NOODLES EGG BOILED",  320,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
33,"PASTA SPAGHETTI DRIED WHITE",  320,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
34,"PASTA SPAGHETTI BOILED WHITE",  320,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
35,"PASTA SPAGHETTI WHOLEMEAL DRY",  293,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
36,"PASTA SPAGHETTI WHOLEMEAL BOILED",  293,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
37,"PASTA VERMICELLI, DRIED",  320,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
38,"PASTA MACARONI CANNED IN CHEESE SAUCE",1.11e+03,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
39,"PASTA RAVIOLI CANNED IN TOMATO SAUCE",  320,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
40,"PASTA SPAGHETTI CANNED IN BOLOGNESE SAUCE",1.13e+03,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
41,"PASTA,SPAGHETTI, CANNED IN TOMATO SAUCE",  120,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
42,"WHITE RICE BASMATI BOILED",  467,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
43,"WHITE BASMATI RICE DRY",  467,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
44,"RICE BASMATI FRIED IN BLEND OIL",  467,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
45,"RICE BASMATI FRIED IN DRIPPING",  467,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
46,"RICE BASMATI FRIED IN LARD",  467,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
47,"RICE BASMATI FRIED IN PUFA OIL",  467,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
48,"RICE BROWN DRIED",  467,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
49,"RICE, BROWN, BOILED",  467,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
50,"RICE BROWN FRIED IN BLENDED OIL",  467,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
51,"RICE BROWN FRIED IN DRIPPING",  467,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
52,"RICE BROWN FRIED IN LARD",  467,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
53,"RICE BROWN FRIED IN PUFA OIL",  467,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
54,"RICE WHITE EASY COOK DRIED",  467,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
55,"WHITE RICE EASY COOK BOILED",  467,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
56,"RICE FLAKES DRIED",  467,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
57,"RICE WHITE LONG GRAIN POLISHED DRIED",  467,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
58,"RICE WHITE LONG POLISHED BOILED",  467,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
59,"RICE WHITE FRIED BLENDED OIL",  467,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
60,"RICE WHITE WITH PUFA OIL",  467,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
