FoodNumber,FoodName,CO2e,CO2eRef
1,"ARROWROOT POWDER",   64,"Average of CO2e values for Wheat from From Clune et al 2017, multiplied by1.25"
2,"PEARL BARLEY WHITE DRIED",   64,"Average of CO2e values for Wheat from From Clune et al 2017, multiplied by1.25"
3,"BARLEY PEARL WHITE BOILED IN WATER",   64,"Average of CO2e values for Wheat from From Clune et al 2017, multiplied by1.25"
4,"BARLEY WHOLE GRAIN DRIED",   64,"Average of CO2e values for Wheat from From Clune et al 2017, multiplied by1.25"
5,"BARLEY WHOLEGRAIN BOILED IN WATER",   64,"Average of CO2e values for Wheat from From Clune et al 2017, multiplied by1.25"
6,"WHEATGERM",   64,"Average of CO2e values for Wheat from From Clune et al 2017, multiplied by1.25"
7,"BRAN WHEAT",   64,"Average of CO2e values for Wheat from From Clune et al 2017, multiplied by1.25"
8,"CORNFLOUR",   64,"Average of CO2e values for Wheat from From Clune et al 2017, multiplied by1.25"
9,"CORNMEAL SIFTED DRY",   64,"Average of CO2e values for Wheat from From Clune et al 2017, multiplied by1.25"
10,"CORN MEAL UNSIFTED DRIED",   64,"Average of CO2e values for Wheat from From Clune et al 2017, multiplied by1.25"
11,"CUSTARD POWDER",   64,"Average of CO2e values for Wheat from From Clune et al 2017, multiplied by1.25"
12,"FLOUR BROWN (85%)",   64,"Average of CO2e values for Wheat from From Clune et al 2017, multiplied by1.25"
13,"FLOUR CHAPATI BROWN",   64,"Average of CO2e values for Wheat from From Clune et al 2017, multiplied by1.25"
14,"FLOUR CHAPATI WHITE",   64,"Average of CO2e values for Wheat from From Clune et al 2017, multiplied by1.25"
15,"FLOUR WHITE HOUSEHOLD PLAIN",   64,"Average of CO2e values for Wheat from From Clune et al 2017, multiplied by1.25"
16,"FLOUR WHITE SELF RAISING",   64,"Average of CO2e values for Wheat from From Clune et al 2017, multiplied by1.25"
17,"FLOUR RICE",  266,"Average of CO2e values for Rice from From Clune et al 2017, multiplied by1"
18,"RYE FLOUR (100%)",   64,"Average of CO2e values for Wheat from From Clune et al 2017, multiplied by1.25"
19,"SOYA FLOUR", 57.8,"Average of CO2e values for Soybean from From Clune et al 2017, multiplied by1"
21,"FLOUR WHITE BREADMAKING",   64,"Average of CO2e values for Wheat from From Clune et al 2017, multiplied by1.25"
22,"FLOUR WHOLEMEAL (100%)",   64,"Average of CO2e values for Wheat from From Clune et al 2017, multiplied by1.25"
23,"OATMEAL RAW", 76.7,"Average of the values in Clune et al 2017"
