Food counter 	Food type	Sub-category	Region	Year of study	Report type	"kg CO2-eq/kg produce, BFM or L after conversion"	Notes (conventional farming assumed unless stated)	Reference	reference number
Dairy Counter	Butter	Butter 	United Kingdom	2010	Journal	3.70	 spreadable	"Nilsson, K., A. Flysjö, J. Davis, S. Sim, N. Unger and S. Bell (2010). ""Comparative life cycle assessment of margarine and butter consumed in the UK, Germany and France."" The International Journal of Life Cycle Assessment 15(9): 916-926."	0001
Dairy Counter	Butter	Butter 	France	2010	Journal	7.20		"Nilsson, K., A. Flysjö, J. Davis, S. Sim, N. Unger and S. Bell (2010). ""Comparative life cycle assessment of margarine and butter consumed in the UK, Germany and France."" The International Journal of Life Cycle Assessment 15(9): 916-926."	0002
Dairy Counter	Butter	Butter 	Canada	2006	Journal	7.30		"Vergé, X. P. C., D. Maxime, J. A. Dyer, R. L. Desjardins, Y. Arcand and A. Vanderzaag (2013). ""Carbon footprint of Canadian dairy products: Calculations and issues."" Journal of Dairy Science 96(9): 6091-6104."	0003
Dairy Counter	Butter	Butter 	Germany	2010	Journal	9.00		"Nilsson, K., A. Flysjö, J. Davis, S. Sim, N. Unger and S. Bell (2010). ""Comparative life cycle assessment of margarine and butter consumed in the UK, Germany and France."" The International Journal of Life Cycle Assessment 15(9): 916-926."	0004
Dairy Counter	Butter	Butter 	United Kingdom	2012	EPD	9.50		"Tesco (2012). ""Product carbon footprint summary."" Retrieved 15/02/2015, from http://www.tescoplc.com/assets/files/cms/Tesco_Product_Carbon_Footprints_Summary%281%29.pdf. "	0005
Dairy Counter	Butter	Butter 	United Kingdom	2010	Journal	9.60		"Nilsson, K., A. Flysjö, J. Davis, S. Sim, N. Unger and S. Bell (2010). ""Comparative life cycle assessment of margarine and butter consumed in the UK, Germany and France."" The International Journal of Life Cycle Assessment 15(9): 916-926."	0006
Dairy Counter	Butter	Butter 	Austria	2010	Conference	20.83	organic	"Lindenthal, T., T. Markut, S. Hörtenhuber and G. Rudolph (2010). Greenhouse Gas Emissions of Organic and Conventional Foodstuffs in Austria. VII International Conference on Life Cycle Assessment in the Agri-Food Sector (LCA Food 2010). Bari, Italy."	0007
Dairy Counter	Butter	Butter 	Austria	2010	Conference	25.00	Mountain farmer butter	"Lindenthal, T., T. Markut, S. Hörtenhuber and G. Rudolph (2010). Greenhouse Gas Emissions of Organic and Conventional Foodstuffs in Austria. VII International Conference on Life Cycle Assessment in the Agri-Food Sector (LCA Food 2010). Bari, Italy."	0008
Dairy Counter	Camembert Cheese 	Cheese	Austria	2010	Conference	7.00	organic	"Lindenthal, T., T. Markut, S. Hörtenhuber and G. Rudolph (2010). Greenhouse Gas Emissions of Organic and Conventional Foodstuffs in Austria. VII International Conference on Life Cycle Assessment in the Agri-Food Sector (LCA Food 2010). Bari, Italy."	0009
Dairy Counter	Camembert Cheese 	Cheese	Austria	2010	Conference	8.10	conventional 	"Lindenthal, T., T. Markut, S. Hörtenhuber and G. Rudolph (2010). Greenhouse Gas Emissions of Organic and Conventional Foodstuffs in Austria. VII International Conference on Life Cycle Assessment in the Agri-Food Sector (LCA Food 2010). Bari, Italy."	0010
Dairy Counter	Cheddar Cheese	Cheese	USA	2012	Conference	8.70		"Thoma, G. (2012). Comprehensive life cycle Assessment for cheese and whey products in U.S. SETAC 18th LCA Case Study Symposium 4th NorLCA Symposium Sustainability Assessment in the 21st century Tools, Trends & Applications."	0011
Dairy Counter	Cheddar Cheese	Cheese	USA	2012	Journal	13.02	holstien population	"Capper, J. L. and R. A. Cady (2012). ""A comparison of the environmental impact of Jersey compared with Holstein milk for cheese production1."" Journal of Dairy Science 95(1): 165-176."	0012
Dairy Counter	Cheddar Cheese	Cheese	USA	2012	Journal	16.35	jersey population	"Capper, J. L. and R. A. Cady (2012). ""A comparison of the environmental impact of Jersey compared with Holstein milk for cheese production1."" Journal of Dairy Science 95(1): 165-176."	0013
Dairy Counter	Cheese	Cheese	Netherlands	2008	Report	5.33		"Blonk, H., A. Kool, B. Luske and S. d. Waart (2008). Environmental effects of protein-rich food products in the Netherlands Consequences of animal protein substitutes Gouda, Blonk Milieuadvies."	0014
Dairy Counter	Cheese	Cheese	World	2008	Journal	5.45		"Michaelowa, A. and B. Dransfeld (2008). ""Greenhouse gas benefits of fighting obesity."" Ecological Economics 66(2–3): 298-308."	0015
Dairy Counter	Cheese	Cheese	Canada	2013	Journal	5.59		"Vergé, X. P. C., D. Maxime, J. A. Dyer, R. L. Desjardins, Y. Arcand and A. Vanderzaag (2013). ""Carbon footprint of Canadian dairy products: Calculations and issues."" Journal of Dairy Science 96(9): 6091-6104."	0016
Dairy Counter	Cheese	Cheese	Portugal	2013	Journal	7.49		"González-García, S., É. Castanheira, A. Dias and L. Arroja (2013). ""Environmental life cycle assessment of a dairy product: the yoghurt."" The International Journal of Life Cycle Assessment 18(4): 796-811."	0017
Dairy Counter	Cheese	Cheese	Netherlands	2013	Journal	8.02	"cow, medium, "	"Head, M., M. Sevenster, I. Odegard, B. Krutwagen, H. Croezen and G. Bergsma (2013). ""Life cycle impacts of protein-rich foods: creating robust yet extensive life cycle models for use in a consumer app."" Journal of Cleaner Production(in press): 1-10."	0018
Dairy Counter	Cheese	Cheese	Australia	2006	EPD	8.20		"Dairy Australia (2006). Australian Dairy Manufacturing Industry State of the Environment Report, Dairy Manufacturers Sustainability Council."	0019
Dairy Counter	Cheese	Cheese	USA		EPD	8.38		"Aguirre-Villegas, H., S. Kraatz, F. Milani, A. Newenhouse, T. Passos-Fonseca and D. Reinemann (2011). The carbon footprit of cheese. Wisconsin, Cooperative Extension Publishing."	0020
Dairy Counter	Cheese	Cheese	USA	2013	Journal	8.60		"Kim, D., G. Thoma, D. Nutter, F. Milani, R. Ulrich and G. Norris (2013). ""Life cycle assessment of cheese and whey production in the USA."" The International Journal of Life Cycle Assessment 18(5): 1019-1035"	0021
Dairy Counter	Cheese	Cheese	USA	2005	Report 	8.83		"Loijos, A. (2008). ""Assumptions and methodologies for life cycle assessment of food products."" Retrieved 02/02/2015, from http://www.linkcycle.com/foodprintmethods.pdf."	0022
Dairy Counter	Cheese	Cheese	Netherlands	2008	Report	8.93		"Blonk, H., A. Kool, B. Luske and S. d. Waart (2008). Environmental effects of protein-rich food products in the Netherlands Consequences of animal protein substitutes Gouda, Blonk Milieuadvies."	0023
Dairy Counter	Cheese	Cheese	Norway	2012	Conference	9.25	sliced	"Møller, H., V. Schakenda, O. J. Hanssen and J. Nousiainen (2012). Food waste from cheese and yoghurt in a life cycle perspective. 8th International Conference on Life Cycle Assessment in the Agri-Food Sector (LCA Food 2012). Saint Malo, France. Rennes."	0024
Dairy Counter	Cheese	Cheese	Norway	2012	Conference	9.30	whole	"Møller, H., V. Schakenda, O. J. Hanssen and J. Nousiainen (2012). Food waste from cheese and yoghurt in a life cycle perspective. 8th International Conference on Life Cycle Assessment in the Agri-Food Sector (LCA Food 2012). Saint Malo, France. Rennes."	0025
Dairy Counter	Cheese	Cheese	Spain	2013	Journal	9.53	additional whey powder	"González-García, S., A. Hospido, M. T. Moreira, G. Feijoo and L. Arroja (2013). ""Environmental Life Cycle Assessment of a Galician cheese: San Simon da Costa."" Journal of Cleaner Production 52(0): 253-262."	0026
Dairy Counter	Cheese	Cheese	Austria	2010	Conference	9.60		"Lindenthal, T., T. Markut, S. Hörtenhuber and G. Rudolph (2010). Greenhouse Gas Emissions of Organic and Conventional Foodstuffs in Austria. VII International Conference on Life Cycle Assessment in the Agri-Food Sector (LCA Food 2010). Bari, Italy."	0027
Dairy Counter	Cheese	Cheese	New Zealand	2007	Conference	10.00		"Basset-Mens, C., McLaren, S., Ledgard, S., 2007. Exploring a comparative advantage for New Zealand cheese in terms of environmental performance, Book of Proceedings 5th International Conference LCA in Food. The Swedish Institute for Food and Biotechnology, Sweden, pp. 84–87."	0028
Dairy Counter	Cheese	Cheese	Spain	2013	Journal	10.44	baseline	"González-García, S., A. Hospido, M. T. Moreira, G. Feijoo and L. Arroja (2013). ""Environmental Life Cycle Assessment of a Galician cheese: San Simon da Costa."" Journal of Cleaner Production 52(0): 253-262."	0029
Dairy Counter	Cheese	Cheese	Sweden	2008	Journal	10.70		"Berlin, J., U. Sonesson and A.-M. Tillman (2008). ""Product Chain Actors' Potential for Greening the Product Life Cycle."" Journal of Industrial Ecology 12(1): 95-110."	0030
Dairy Counter	Cheese	Cheese	USA	2013	Journal	11.91		"Dunkley, C. S. and K. D. Dunkley (2013). ""REVIEW - Greenhouse Gas Emissions from Livestock and Poultry, Agric Food Anal Bacteriol , 2013."" Agric. Food Anal. Bacteriol 3:17-29."	0031
Dairy Counter	Cheese	Cheese	Sweden		Report	12.05		"Cederberg, C., U. Sonesson, M. Henriksson, V. Sund and J. Davis (2009). Greenhouse gas emissions from Swedish production of meat, milk and eggs 1990 and 2005. SIK Report No 793. Sweden, SIK."	0032
Dairy Counter	Cheese 	Cheese	Netherlands	2013	Journal	7.57	"cow, young, average "	"Head, M., M. Sevenster, I. Odegard, B. Krutwagen, H. Croezen and G. Bergsma (2013). ""Life cycle impacts of protein-rich foods: creating robust yet extensive life cycle models for use in a consumer app."" Journal of Cleaner Production(in press): 1-10."	0033
