"Names","descriptions","short_colnames","rda_m","rda_f","rda_m_7_10","rda_f_7_10","ul_m","ul_f"
"FoodNumber","FoodNumber","FoodNumber",nan,nan,nan,nan,nan,nan
"FoodGroupCode","FoodGroupCode","FoodGroupCode",nan,nan,nan,nan,nan,nan
"FoodName","FoodName","FoodName",nan,nan,nan,nan,nan,nan
"FoodCategory","FoodCategory","FoodCategory",nan,nan,nan,nan,nan,nan
"Base","Base","Base",nan,nan,nan,nan,nan,nan
"Units","Units","Units",nan,nan,nan,nan,nan,nan
"Description","Description","Description",nan,nan,nan,nan,nan,nan
"Dilution","Dilution","Dilution",nan,nan,nan,nan,nan,nan
"Comment","Comment","Comment",nan,nan,nan,nan,nan,nan
"EdiblePortion","EdiblePortion","EdiblePortion",nan,nan,nan,nan,nan,nan
"ACAR","Alpha-carotene (μg)","acar",nan,nan,nan,nan,nan,nan
"ALCO","Alcohol (g)","Alcohol",nan,nan,nan,nan,nan,nan
"BCAR","Beta-carotene (μg)","BCar",nan,nan,nan,nan,nan,nan
"BCRYPT","Beta cryptoxanthin (μg)","BCrypt",nan,nan,nan,nan,nan,nan
"BIOT","Biotin (μg)","Biot",nan,nan,nan,nan,nan,nan
"CA","Calcium (mg)","Ca",700,700,550,550,1500,1500
"CHO","Carbohydrate (g)","Carb",333,267,242,227,nan,nan
"CHOL","Cholesterol (mg)","Chol",nan,nan,nan,nan,nan,nan
"CL","Chloride (mg)","Cl",2500,2500,1800,1800,nan,nan
"CMON","Cis-Monounsaturated fatty acids (g)","Mono",31,24,26,25,31,24
"CN3","Cis-n3 fatty acids (g)","Cn3",nan,nan,nan,nan,nan,nan
"CN6","Cis-n6 fatty acids (g)","Cn6",nan,nan,nan,nan,nan,nan
"CU","Copper (mg)","Cu",1.2,1.2,0.7,0.7,nan,nan
"ENGFIB","Englyst fibre (g)","Fibre",30,30,20,20,nan,nan
"FAT","Fat (g)","Fat",97,78,71,66,97,78
"FE","Iron (mg)","Fe",8.7,14.8,8.7,8.7,nan,nan
"FOLT","B9 (Folate) (μg)","B9",200,200,150,150,nan,nan
"FRUCT","Fructose (g)","Fruct",nan,nan,nan,nan,nan,nan
"GLUC","Glucose (g)","Gluc",nan,nan,nan,nan,nan,nan
"HFE","Haem iron (mg)","HFe",nan,nan,nan,nan,nan,nan
"I","Iodine (μg)","I",140,140,110,110,nan,nan
"K","Potassium (mg)","K",3500,3500,2000,2000,nan,nan
"KCALS","Energy (kcal)","kcal",2500,2000,1817,1703,nan,nan
"KJ","Energy (kJ)","kJ",10500,8400,nan,nan,nan,nan
"LACT","Lactose (g)","Lac",nan,nan,nan,nan,nan,nan
"MALT","Maltose (g)","Malt",nan,nan,nan,nan,nan,nan
"MG","Magnesium (mg)","Mg",300,270,200,200,nan,nan
"MILK","Intrinsic and milk sugars (g)","MilkSug",nan,nan,nan,nan,nan,nan
"MN","Manganese (mg)","Mn",nan,nan,nan,nan,nan,nan
"NA","Sodium (mg)","Na",2400,2400,2000,2000,nan,nan
"NCF","Nitrogen conversion factor","NCF",nan,nan,nan,nan,nan,nan
"NHFE","Non-haem iron (mg)","NhFe",nan,nan,nan,nan,nan,nan
"NIACEQU","B3 (Niacin equivalent) (mg)","B3",16.5,13.2,12.0,11.2,nan,nan
"NMILK","Non-milk extrinsic sugars (g)","NMilkSug",33,27,24,23,33,27
"OSUG","Other Sugars (g)","OSug",nan,nan,nan,nan,nan,nan
"P","Phosphorus (mg)","P",550,550,450,450,nan,nan
"PANTO","B5 (Pantothenic acid) (mg)","B5",nan,nan,nan,nan,nan,nan
"PROT","Protein (g)","Prot",55.5,45.0,28.3,28.3,nan,nan
"RET","Retinol (μg)","Ret",nan,nan,nan,nan,nan,nan
"RIBO","B2 (Riboflavin) (mg)","B2",1.3,1.1,1.0,1.0,nan,nan
"SATFA","Saturated fatty acids (g)","SatFa",31,24,22,21,31,24
"SE","Selenium (μg)","Se",75,60,30,30,nan,nan
"STAR","Starch (g)","Star",nan,nan,nan,nan,nan,nan
"SUCR","Sucrose (g)","Sucr",nan,nan,nan,nan,nan,nan
"THIA","B1 (Thiamin) (mg)","B1",1.0,0.8,0.7,0.7,nan,nan
"TOTCAR","Total carotene (μg)","TotCar",nan,nan,nan,nan,nan,nan
"TOTNIT","Total nitrogen (g)","TotNit",nan,nan,nan,nan,nan,nan
"TOTSUG","Total sugars (g)","TotSug",nan,nan,nan,nan,nan,nan
"TRANS","Trans fatty acids (g)","Trans",nan,nan,nan,nan,nan,nan
"VITA","Vitamin A (retinol equivalents) (μg)","A",700,600,500,500,nan,nan
"VITB12","Vitamin B12 (μg)","B12",1.5,1.5,1.0,1.0,nan,nan
"VITB6","Vitamin B6 (mg)","B6",1.4,1.2,1.0,1.0,nan,nan
"VITC","Vitamin C (mg)","C",40,40,30,30,nan,nan
"VITD","Vitamin D (μg)","D",10,10,10,10,nan,nan
"VITE","Vitamin E (mg)","E",nan,nan,nan,nan,nan,nan
"WATER","Water (g)","Water",nan,nan,nan,nan,nan,nan
"ZN","Zinc (mg)","Zn",9.5,7.0,7.0,7.0,nan,nan
"Fruit","Percentage of Fruit","Fruit",nan,nan,nan,nan,nan,nan
"DriedFruit","Percentage of Dried Fruit","DriedFruit",nan,nan,nan,nan,nan,nan
"FruitJuice","Percentage of Fruit Juice","FruitJuice",nan,nan,nan,nan,nan,nan
"SmoothieFruit","Percentage of Smoothie Fruit","SmoothieFruit",nan,nan,nan,nan,nan,nan
"Tomatoes","Percentage of Tomatoes","Tomatoes",nan,nan,nan,nan,nan,nan
"TomatoPuree","Percentage of Tomato Puree","TomatoPuree",nan,nan,nan,nan,nan,nan
"Brassicaceae","Percentage of Brassicaceae","Brassicaceae",nan,nan,nan,nan,nan,nan
"YellowRedGreen","Percentage of Yellow/Root Vegetables","YellowRedGreen",nan,nan,nan,nan,nan,nan
"Beans","Percentage of Beans and Pulses","Beans",nan,nan,nan,nan,nan,nan
"Nuts","Percentage of Nuts","Nuts",nan,nan,nan,nan,nan,nan
"OtherVeg","Percentage of Other Fruit/Veg","OtherVeg",nan,nan,nan,nan,nan,nan
"Beef","Percentage of Beef","Beef",nan,nan,nan,nan,nan,nan
"Lamb","Percentage of Lamb","Lamb",nan,nan,nan,nan,nan,nan
"Pork","Percentage of Pork","Pork",nan,nan,nan,nan,nan,nan
"ProcessRedMeat","Percentage of Processed Red Meat","ProcessRedMeat",nan,nan,nan,nan,nan,nan
"OtherRedMeat","Percentage of Other Red Meat","OtherRedMeat",nan,nan,nan,nan,nan,nan
"Burgers","Percentage of Burgers & Grill Steaks","Burgers",nan,nan,nan,nan,nan,nan
"Sausages","Percentage of Sausages","Sausages",nan,nan,nan,nan,nan,nan
"Offal","Percentage of Offal","Offal",nan,nan,nan,nan,nan,nan
"Poultry","Percentage of Poultry","Poultry",nan,nan,nan,nan,nan,nan
"ProcessedPoultry","Percentage of Processed Poultry","ProcessedPoultry",nan,nan,nan,nan,nan,nan
"GameBirds","Percentage of Game Birds","GameBirds",nan,nan,nan,nan,nan,nan
"WhiteFish","Percentage of White Fish","WhiteFish",nan,nan,nan,nan,nan,nan
"OilyFish","Percentage of Oily Fish","OilyFish",nan,nan,nan,nan,nan,nan
"CannedTuna","Percentage of Canned Tuna","CannedTuna",nan,nan,nan,nan,nan,nan
"Shellfish","Percentage of Shellfish","Shellfish",nan,nan,nan,nan,nan,nan
"CottageCheese","Percentage of Cottage Cheese","CottageCheese",nan,nan,nan,nan,nan,nan
"CheddarCheese","Percentage of Cheddar Cheese","CheddarCheese",nan,nan,nan,nan,nan,nan
"OtherCheese","Percentage of Other Cheese","OtherCheese",nan,nan,nan,nan,nan,nan
"AllCheese","Percentage of cheese (total)","cheese",nan,nan,nan,nan,nan,nan
"AllFish","Percentage of fish (total)","fish",nan,nan,nan,nan,nan,nan
"AllMeat","Percentage of meat (total)","meat",nan,nan,nan,nan,nan,nan
"AllAnimal","Percentage of cheese, fish, meat (total)","animal",nan,nan,nan,nan,nan,nan
"CO2e","CO2e (g)","CO2e",nan,nan,nan,nan,nan,nan
"CO2eRatio","kg CO2e / kg product","CO2eRatio",nan,nan,nan,nan,nan,nan
"CO2eRef","Reference information for the CO2e number used","CO2eRef",nan,nan,nan,nan,nan,nan
"CO2eGroup","index to a group of foods with similar CO2e","CO2eGroup",nan,nan,nan,nan,nan,nan
"FoodDescriptions","Graph/table -friendly food names","FoodDescriptions",nan,nan,nan,nan,nan,nan
"FoodAisle","FoodAisle (a food categorisation used for grouping foods for plotting)","FoodAisle",nan,nan,nan,nan,nan,nan
